fold,subject,n_train,n_bal,n_test,acc,prec,rec,f1
1,1026,1951,4041,557,0.33213644524236985,0.11031461825823775,0.33213644524236985,0.1656205993796184
2,1106,2386,4230,122,0.8114754098360656,1.0,0.8114754098360656,0.8959276018099548
3,1175,2324,4044,184,1.0,1.0,1.0,1.0
4,1194,2386,4230,122,0.8278688524590164,1.0,0.8278688524590164,0.905829596412556
5,1337,2386,4230,122,0.9590163934426229,1.0,0.9590163934426229,0.9790794979079498
6,1390,2386,4230,122,1.0,1.0,1.0,1.0
7,1419,2386,4230,122,1.0,1.0,1.0,1.0
8,1544,2075,4044,433,0.6812933025404158,0.4949735560821011,0.6812933025404158,0.5713545482932499
9,1624,2323,4041,185,0.9783783783783784,1.0,0.9783783783783784,0.9890710382513661
10,1629,1969,4044,539,0.33766233766233766,0.1176702085792995,0.33766233766233766,0.17452210710637678
